,user,content
53,7C8lE56NPl4iH2W,@JC361104176 モザイクなしみたいです！お願いします！
54,LyEZTSysXIVzri9,@JC361104176 話したい！！
55,_douteikunn,@bRR19bDlfhsg0FX いろんなとこみたいです
56,bRR19bDlfhsg0FX,"こんにちはー！！
動画販売してまーす！
良ければいろんなところ見てくれませんか！
彼氏も募集してます！
DMきてね!

#彼氏募集
#彼氏募集中
#裏垢男子と繋がりたい
#jc"
57,kasmohz,@1552Nn dmが解放されてないよっていちおつっこんどくw
58,akM8KkmM0meRmkn,@1552Nn dm送っているので、確認お願いします
59,1552Nn,"拡散お願いします
顔画像 メガネかけてる
住み 京都
手当 2.5くらい
制服コス 希望してくる20代
後半の人からツイッターで
🛠申し込まれたら即私にdmして欲しいです"
60,Mana89040489,♯裏アカ女子
61,Ro2iSFBabUDASqV,@Kuromi0721 みたいなー！
62,misa___33_,"みんな私のえっちな動画買ってくれる？

#裏アカJK #動画販売 #裏アカ男子とつながりたい"
63,jk69225864,https://t.co/h9eFDVoFVY
64,kinoko55102448,@YuuPfmer 動画買うよ❗
65,gafasgafasgafa,@YuPfmer こんばんは。よかったら買いたいな。フォロバ頂けたらDMいけます
66,23fhm111,@chi__aki3150 dm来れますか？
67,UoxoU_0724,"中学で使ってたもの売ります( ᐢ. ̫ .ᐢ )
mrcr経由です❕カカオ待ってます🎀

 #jk売り子 #jc売り子 #下着売ります #下着売り子 #靴下売ります #靴下売り子 https://t.co/gpb5PW7i0q"
68,yK3RZhd2RNXD5su,@EbxJG8I1iMn472c ＤＭできなかったのでフォロバかＤＭお願いします‼️
69,Uv2eCFb1JL5priH,@aaaaaaaazumi DMしませんか？
70,hihihi00663,@mIv0XUKK9eicMqs うん。俺だけーー
71,Melon54808953,@jxM21uEnk6a9 お願いです。見せて欲しいです。
72,Z5xWqgot3XJMkxI,"@deUBEvSgjs2l8FC 奪いたいです。
処女とエッチしたことないからさせてほしいです。
誰よりも優しくします。
大切にするからお返事ください"
73,blTwGO2hwD4VKNY,@deUBEvSgjs2l8FC 奪っちゃうよ
74,Akira_E_Watabe,@deUBEvSgjs2l8FC 貰いますよー。
75,kanto_gu,@deUBEvSgjs2l8FC 自分もなのでしたいです
76,SG8Q0VuUyPXQiIY,@deUBEvSgjs2l8FC フォローしましたよろしくお願いします💕
77,j3t6nt2t5j,@deUBEvSgjs2l8FC こんばんは、DMで話したいんでフォローお願いします
78,4NE4sBoOUB3DEfu,@deUBEvSgjs2l8FC 是非お願いしたいです
79,S52807782,@deUBEvSgjs2l8FC したいです！
80,yuki_eroaka2,@deUBEvSgjs2l8FC ぜひお願いします！
81,fura_renn,@deUBEvSgjs2l8FC はーい！
82,deUBEvSgjs2l8FC,"処女なんです✌️私の初奪ってくれる人コメントしてください！
#処女 #JK #JK裏垢"
83,Y9A9vAmdgDweebF,"大阪、兵庫、京都辺りで今日会える女の子募集
詳しくはDMメッセージください

JS JC JK 援　梅田　十三　神戸"
84,mayuuu330,"jk❣
えちえち動画販売♡

興味ある方DMください😘

#裏アカjk 
#裏アカ男子と繋がりたい 
#動画
#自発下さい
#金欠 
#居場所をください https://t.co/bwFJTHa3le"
85,wtpjdupjtwm,よろしくお願いします https://t.co/6EJcyaViqL
86,kankankannadayo,"フォルダにあるオナ動画買いませんか？
#おな動画　#売り子"
87,xyz01015521,@t_umde DMお願いします
88,V8Z5TY4SUkuU09R,パパ活女子京都です！ https://t.co/GRtQBgxkHX
89,vJphThFbYSIpzUc,@wfIY78EXREYthUN やりたい
90,D0bJn,@wfIY78EXREYthUN @GmT8C90SvBVVgZp エッチしたいな
91,TAKA86018986,@wfIY78EXREYthUN エッチしたいなぁ
92,eUUX4JZOQH9F4xJ,@wfIY78EXREYthUN @2dtsNi9DNE5zv3F オフパコしましょう。よろしくお願いいたします
93,nike76349439,@wfIY78EXREYthUN しましょうか(^^)
94,mkt47756031,@wfIY78EXREYthUN ＤMください(⌒▽⌒)
95,tubuuraaka,"@kmu_t はじめまして！
年近いから仲良くしよー！"
96,rintyan0104,"おなにー動画欲しい人DMきて？❤
えっちな話もしてあげるよ❤
#裏アカ男子と繋がりたいᅠ 
#裏アカ女子
#JC 
#JC裏アカ 
#jc2"
97,22CBZGSD907Vqu8,"(-_-).。oO 関西で処女奪ってくれるかたいないかな…はじめてなので色々教えてほしいです…
#裏アカ女子ᅠᅠ"
98,maruipanda_9696,"LJKとえっちしてくれる人大募集
#裏垢女子
#えっちえち
#おじさんだいすきめろ https://t.co/J4pFyMvX09"
99,at11111335559,@6NsOHb2WGDbiEEJ 会えるよ
100,6NsOHb2WGDbiEEJ,"明日に京都であってくださるパパいますか？？もしいらっしゃったらDMください！

条件

・エッチな事一切無しでいいという方
・1回のお出かけ（2〜3時間）10000〜
・楽しんでくださる方

よろしくお願いいたしますm（* _ _… https://t.co/i8TzH9dTVL"
101,nozomin_0510,"ヒョウ柄の綿ぱんつです🐱
1日履き2500円、オプションは要相談です☺️
#パンツ売ります 
#売り子
#のぞみ在庫 https://t.co/SWIHOCLeoQ"
102,exeGZ3q32UpiSHZ,"今から京都で会える子いるかな？車なんで場所は指定してくれたら迎えに行くよー
DMで条件教えてくださいね(^^)
#京都 #援 #援交 #プチ #円 #割 #JK"
103,mITm4k0a90nkfgJ,"明日昼の11時〜
                  〜NG〜
キス、フ○ら、生、痛い、汚い、

ホ別6万➕交通費
ホテルに入ってからの前払い

場所はこちら指定です
京都市内です。

ラストjk.18歳、ショートカット

#援"
104,ULEi1QlwLKW93eN,"帰ってきた🥺🥺
確認ボイス貼っとくね！
プレイは言葉攻めと甘めの調教が得意🥺🥺激しいのも好きだけどね。
クソマゾはおいで？
#奴隷募集 #M男募集 #貢ぎ奴隷募集 #奴隷 #貢ぎ奴隷 #財布奴隷 #M男 #m男 #マゾ #貢ぎマゾ… https://t.co/qifRVohB8Z"
105,yusan4411,@tiautyanda ほしい
106,y64wHCvqI2ZOkmy,"@tiautyanda 雑魚ちくびいじわるしたいー
見たい♡"
107,puzzdra11,@tiautyanda めちゃくちゃ見たいです！
108,Mn16647262,@tiautyanda @sisiohmaru ほしい
109,krituki48596,@tiautyanda 欲しいです　お願いします
110,IjmXs44xLoovbmS,"@tiautyanda はじめまして！
欲しいですー！"
111,rami159357,@tiautyanda 欲しいです！
112,sameoyogu,"@tiautyanda 初めまして！
よろしければ頂きたいです！"
113,aonoriseizin200,@tiautyanda 欲しいです！
114,roki230406,@tiautyanda おなしゃす
115,oyatuuuukarupas,@tiautyanda えちえちなのお願い！
116,airu179,@tiautyanda @sisiohmaru むっちゃほしぃ
117,152Gadmjt,@tiautyanda これしてるの見てしこしこしてるの送り付けたい...
118,KOTANTV1,@tiautyanda DMきて
119,junhyo_6,@rabbit_dog_123 突然すいません、チュンカなどと引き換えで動画のリクエストってやっていますか？
120,ttK8FPQ1JEkbvUQ,@rabbit_dog_123 欲しいです！
121,wASWBffqNIKqDF5,@rabbit_dog_123 僕にもくださーい！
122,wVziGgM61X9hZrC,@rabbit_dog_123 dmくだちゃい
123,EyEM9EZBvTK4OR6,@rabbit_dog_123 dm欲しいです
124,wall98479573,@6n5P7fz299ci9hh DM返信ください
125,VanzantdTele,@U9nb6bZNyBp3c8P おかえりなさい、パパさんになってみたいです。
126,U9nb6bZNyBp3c8P,めちゃくちゃ久しぶりに浮上…コロナひとまず落ち着いたからまたパパさん募集しよっかな～…やってくれる人🙋‍♂️
127,JUNSKY937812081,@kk0710_ それは、見たいね💕
128,ji_lz7,@O_fffttonn はなそ！
129,ringo94736873,@ogawa__riisa よろしくお願いします。
130,dk_xaj,@ogawa__riisa みたいー
131,shoooo_69,@0921kahochan 見たい
132,UtAYpsvtPHQfrcZ,@0921kahochan こんばんはフォローしましたー
133,manaberyou,@jc47597054 DM開けてください
134,ZGifxGqOuZwgwDu,@jc47597054 したいな🤤
135,chinko_4545o,@ogawa__riisa 一緒にしよー
136,yamato0o0o,@ogawa__riisa DMしよ！
137,bTLpO4dNFpeFD6w,@ogawa__riisa みたいし見せ合いもしたいーーー
138,sdbhsdbhsdbhapa,@ogawa__riisa おくってほしい！
139,TnpEnagmgawpa,@ogawa__riisa 待ってます！
140,9KUo4s1TmLzUwgF,@yu65109315 締切がガチの誕生日なので、ヨロシクお願いします！
141,T2rhXG191M30h9h,@yu65109315 お願いします！
142,rhhO565L2wsOodK,@yu65109315 お願いします！
143,cGGuBNUJZm8JLVu,@yu65109315 フォローしちゃった
144,iPhone76951917,@yu65109315 当たるといいなぁ 何で決めるの？
145,540CDxPZP4Ms0zt,@kmu_t お願いします
146,ygF5MZiaKunJMrY,@kmu_t 待ってます🤲
147,6shkhFneUaIVlTT,@kmu_t ほちぃ\(//∇//)\
148,wack_CARRYLose,@kmu_t したよ
149,5zH6ZHuDRgCcT4C,@kmu_t リツイートしましたー
150,nadesu_ooooo_pi,@kmu_t もう遅い？
151,cabN1vP7jY2D2n2,@kmu_t 見たいー
152,slo23dath,@kmu_t させてもらいました。
153,rikky213,@kmu_t みせてー
154,JqKPlSLpsANFo8w,@kmu_t 全部したい
155,mikkun_c21,@kmu_t 見たいから、フォロー、リツイートしました。
156,toku01ura,@kmu_t 見たいです！
157,Su1V5OIPeMkH8Ej,@kmu_t ください
158,aavbfjkfa,@kmu_t DM解放しないと送れないですよ！
159,aiaiaiaiaiair,@kmu_t お願いします！
160,p5tdl1AhCK76Dp8,@kmu_t よかったら仲良くしよ〜(๑•∀•๑)
161,b9qtQ1m7szp4ypK,@kmu_t くださいー
162,v6hjs,@kmu_t みたーい！
163,1118daisuke1118,@UndyN1L6cruncvp はーい
164,NgRtHXhbEaAWip4,@kmu_t フォロー RTしました〜
165,star__ura__aka,@kmu_t ほしいです!!
166,padwapa,@kmu_t 欲しいですねー、可愛いな
167,MAKOTO12121212,@kmu_t フォローRTしました～
168,NRikuna,"@kmu_t 同い年なので、仲良くしたいです！
DMお願いします！"
169,FchxoTXrOExzhad,@kmu_t 見たいでね。よろしくお願いします
170,O5eAdBpyYvGAAKN,@kmu_t DMお願い
171,SN4cNnO459WUGLN,@rinrinrinriinn イチャイチャしてゲームの話する
172,L40La,@rinrinrinriinn ずっとイチャイチャ
173,sh3bDBSrqOt8GQB,@mikurinniconico 挟まれたい‼️
174,chanchan55563,@mikurinniconico 最高❤️
175,uTdGPZFepY7z8ez,@mikurinniconico すごくよいです。
176,qBU2zevX548axlN,@nuuunchan_ お願いしまーす笑
177,HaYuvvNgd7HuSBi,@nuuunchan_ RTしましたぁ
178,4UkgwY96lZKdFUr,@jk82843280 みたい！
179,sVl1xTsnFBWMSBW,@jk82843280 みたいでーす
180,lv0886RptXYMKrK,@jk82843280 見たーい！
181,TiGYa8wOMnlq5sr,@jk82843280 観たいです❗️
182,mizone00,@jk82843280 (*・ω・)ノ
183,0CLAEGgmnnPST5B,@jk82843280 ください
184,AEhgGIxDPCyQnLE,@jk82843280 見たいです！！
185,skoranohentai,@jk82843280 欲しいです！
186,Okarina0812,@jk82843280 見たいですー
187,jkmanaka2004,"モザイクなしみたいひとー？笑

いいねかRTしてからdmきてねっ！

裏垢女子エロ垢オナニー

 #裏垢jk https://t.co/ouHmz1pn33"
188,j9r9fw6e,"ノーブラ制服の動画撮りましたー('ω')

見たい人はフォロRT♡

スケスケで恥ずかしいけど、それがよき♪❤

裏アカJK パンツ カカオ
https://t.co/hzN8exvIEs"
189,Srtuts5,"おなにー動画売ってます！
顔ありで売っています！
詳しくはDMで話します！
#動画売り子 #動画売ります
#動画販売 #裏垢女子
#裏垢男子と繋がりたい 
#動画売り手 https://t.co/rbnsXi1dk2"
190,344twer,"部活終わりに複数の部員に野外でま○されるバスケ部マネージャー

これは普通に羨ましいですね！

このあとの挿○編はふぉろーリツで配布します

ちなみに見つけたのはここ
▶️https://t.co/5djED4Sn1u

他にもお… https://t.co/rYQgnbsXM9"
191,nakaho922,DMきてー
192,KUrume543,"フォロワー増やしたいので体はります！！
私の脱ぎ脱ぎ動画欲しい方いますか？

フォロー&amp;リツイートでDMで見せます！またあんまりリツイート少ないとショックなので30くらい期待します笑。

#裏垢jk #裏アカ女子"
193,8VKFF1elzv9aE28,"次とる時はリクエストの四つん這いで撮ります☺️
むにとのせっくす妄想して…🥺"
194,HeraheradayoXo,"はじめまして、りんです！

裏垢はじめました〜
18♀裏アカ男子さんと喋りたいです！
円は少しだけ興味あります...
動画売ろうと思います！！

仲良くしてくれるとうれしい！
よろしくおねがいします🙇‍♀️
ラブリツでおな送ります… https://t.co/1mPH1qzBRx"
195,DumbleJanelle,"サッカー部マネージャーやってます

お着替え見たいですか？

メッセージで仲良くなったら色んな事したいです

まずはフォロ&amp;RTくれた人に特別なの送り付けちゃいます！！！

仲良くして下さいね💕

#裏アカ女子　
＃裏アカjk https://t.co/FPJd9c0Wl1"
196,kuritinposigoku,"変態JKです❤
クソ雑魚まんこいじめて下さい❤️❤️

#裏アカjk #裏アカ男子と繋がりたいㅤ #裏アカ女子 https://t.co/LS8ZsuhlCi"
197,SusanTa62903063,"本物のおちnちん下さい...
無修正気になりますか？♥
リツイートしてね♡

生おな見放題はここ😘
https://t.co/Lc8ntRHO88✨

#裏アカ男子とつながりたい
#裏アカＪＫ
エロ垢 オナニー 見せ合い
セフレ… https://t.co/PbUlEJLqGX"
198,Scwoll,"ほらぁ、イキなさい💓💓
って従順なせフレ募集中ですっ
♪♪♪

🐘エろ垢jk 動画🐘エろ動画🐘

#裏アカjc https://t.co/M21PdcGQ3T"
199,sasasayakakakak,"ずっとおなしちゃってます💕性欲強い人いたらフォローらぶください💕DM待っててくださいね！
おなサポしてあげたいです(*´Д`)ﾊｧﾊｧ
#裏アカJK #裏アカ女子"
200,remirenmiy,"見せ○いできるおじさんいますか…❓
むらむらがやばいのでフォローRTください！

#裏アカJK"
201,nano__so,"おちんちん沢山みたいのでだれか送ってください(｡- -｡)
えちえちでごめんなさい…

#裏アカ男子とつながりたい
 #RTした人にブロック覚悟でちんちんDM送りつける
#見る専 #ちん凸"
202,renogata9898,"ツイッター始めてフォロワー欲しいのでお〇にぃDMで送ってます⛲フォロリツくれた人だけ‼
奥まで指入れてがんばってしました✌けっこうおっきい声で鳴いちゃっててはずいかも/// 
＃裏アカ女子　
＃裏アカjc
裏垢女子"
203,miku___cha,"うちのオ○動画あげます！たくさんの方に見てもらいたいです。
フォロー＆RTでDM来て貰えばあげようと思います！
#裏アカ女子
#jk
#jk裏アカ
#裏アカ男子と繋がりたい https://t.co/f0rPWOzGZ4"
204,Nari_072sitai,"オナ指示、見せ合い希望です！
Twitterのみでお願いします
動画も大丈夫なので暇な方はDMに来てくださいー
ガンガン攻めて欲しい… 男の子でも女の子でも大丈夫です！#裏アカ女子 #裏アカ男子とつながりたい   #裏アカ女子と繋がりたい"
205,aili4545,貧乳女子！RTしてくれた方に、動画プレゼント🎁乳首のだけどね笑笑 #裏アカ #裏アカ女子 #裏アカ男子と繋がりたいᅠ #裏アカJK #LJK https://t.co/zUNCPDHfZT
206,impreza321,"当方高校1年のJK処女です！
家計が厳しくて。。。。やむを得ず。。
ですがまだ数回しかした事がないので慣れてません😅
やさしくしてくださる方お願いします💞
ホテル代別555円になります！
ゴムは必ずつけてくださいね😡
DMお願いします！！
#援交
#JK裏垢"
207,qdRDcyeM5QgiJLA,"~メニュー表~

【⠀画像販売  】
・お〇ぱい 1枚 200円
・お〇んこ 1枚 300円
・お〇り    1枚 200円
・全裸        1枚 500円

【⠀動画販売  】
・お〇ぱいイジイジ 30秒 500円
・オナ… https://t.co/cJqcCTSQgT"
208,yBb84ZOSaqk3M30,"下着とかも売っちゃうよ〜〜

#jk #jk裏アカ #jk制服"
209,0312haaat,"せいよく強すぎる男子とかおじさんとか、あそこいじいじしてるとこ見てほちぃ😆いっぱい出してくれなきゃやだよ！！
フォロRTいいねくれたらDMに突撃しちゃいます💨
#裏アカjc #裏アカ女子 https://t.co/Fab7YUxnxu"
210,momomoe__ee,"お気に入りの下着ー！！どぉかなぁ❓
最近むらむらが止まらなくて///一緒に処理してくれる人募集してます。
フォロリツラブ全部くれた人全員と絡ませてください💕おぱんつ脱いで待ってますね！
#裏アカjc #裏アカ女子 https://t.co/6f2cO2jq5F"
211,ErikaTillman18,"優しい方は気になる人はラブリツ&amp;フォロお願いしますー

いっぱい感じさせてください！(艸ﾟДﾟll)
#裏アカjc
ディルド
オナ指示
オナニー配信 ライン交換募集 パンスト
出会い https://t.co/780ufwxU8n"
212,ruminachandayo,"動画とか売ります
お金持ちの人支援して〜
DMくれたらいつでも返すよん

#jk裏アカ #JK1 #裏垢 #家出JK"
213,forgett46932750,"私もオフでﾊﾟｯｺﾊﾟｯｺﾊﾟｯｺしたい❤
みんなやってるからいいよね？

彼氏がＭだったのでいつも不完全燃焼。。
エスな男性と会ってみたいなぁ～

気になってくれた人❤
この投稿をリツイートといいねして、フォローまでして下さい… https://t.co/ZQgAk1maAn"
214,HertlerMaggie,"セフレ募集してる人はフォロリツした後DM！

可愛がってくださいヽ(｡&gt;▽&lt;｡)ﾉ

オフパコ募集 オナ指示
ライン交換 https://t.co/avtwVGNoSN"
215,subaR8764,"私のhadakaでonaona動画欲しい人はフォロリツください。

DMで送ります💕🐊  

すぐ消すよ笑。凍結もうしたくないから！

#裏アカ女子　#裏アカ男子と繋がりたい #裏アカjc"
216,AulasThora,"帰宅部３年生です💕

男の子と絡みたいなあ💕

※下ネタ垢なんでご注意を

DMでHなの投下します！！

お〇にーやお着替え動画も投下します

フォローくれた人限定で全員に！！

感想大歓迎です

#裏アカ女子　
＃裏アカjk"
217,Kimberl74665479,"こんな私相手でも、ハメたいって人はリツイート、いいね、RT、いいねでご案内します(艸дﾟ*)

素敵な時間を過ごしたいです！
#裏アカjc 裏アカ女子 オナ指示
裏垢女子
通話 メンヘラさんとつながりたい オナニー https://t.co/2gKgDlH1CD"
218,wsv7ch0d,"お外でシちゃった動画みたい人いてるかな😳

ふぉろRTで反応ください❣😏

谷間 募集 裏アカjc
裏アカJK
https://t.co/Cik52tRih3"
219,yuzuki__xxxx,"固ツイ用（修繕版）

写真20枚、動画1本合わせて
1500円で誰か買ってくれませんか。
条件付きで先送り可能です
アマギフでお願いします(&gt;&lt;)
実績あります。
＃裏アカ女子"
220,ma_na_na0,"割れ目ちゃん見てくれる性欲強めおじさんフォロリツらぶほちぃです！！
きったない白濁した液体いっぱい出してほしいな💕
#裏アカjc #裏アカ女子 https://t.co/Og7UQAqzAb"
221,6v_dm,"JC動画見たい人RTしてDMかもん！スタンプ無し

アルバムコレクション

動画シェア

#jc

#jc裏垢 https://t.co/TCLRb7f50E"
222,Bt1sOimeyAb4yey,"中2女子です！

・おなにー動画1回3000円

・その後、指示ありの、何でもします動画5000円
※1度3000円の購入がないと出来ません(詐欺防止のため)

・10000円で、ビデオ通話永久し放題！
※LINEでします
※1度… https://t.co/pS5t5LoaON"
223,Daniell23626152,"line交換 かまって ソフトSM #裏アカjc 
無修正いる？
プレゼント企画！オナした動画送ります
RTでオナニーあげます https://t.co/xeBvwJ7lp4"
224,6NEC8LVWXtJLagp,"ぺいぺいで私のえちな動画買いませんか？
#裏アカ #裏アカ男子 #裏アカ女子と繋がりたい #裏アカ女子中学生 #えろ
#動画販売 https://t.co/TqGzHkzfAh"
225,___hiiina___,"ほかの裏アカさんみてたらめちゃくちゃえっちぃ動画をみてしまった〜
せっくすしたいよ〜〜〜〜〜〜〜〜"
226,yuuzu_kii,"@tos 
#動画販売 #売り子 #動画売ります #裏アカ男子と繋がりたい #裏アカ女子
15歳jcです。身バレ怖いので顔なしですが買いませんか？
おな動画千円から売ってます！"
227,ririna619,"誰かうちのこといじめて！
頭がおかしくなるくらいいじめて！
男の子ちんちん見してよ！"
228,Yuuka_18jk,"優香の専属奴隷になりたい
チョロマゾはDMおいで〜？♡
jkの財布としてちゃんと仕えてね？♡
専属は優香を満足させてくれる子しか
募集してないよ〜っ♡
ただの奴隷なら少額でも。

#奴隷募集 #M男募集 #貢ぎ奴隷募集 #奴隷… https://t.co/Am46XHASfX"
229,mayumi_uraa,"オナニー動画撮ってみた笑笑
フルの無修正欲しい人はDM来て(๑⃙⃘˙꒳˙๑⃙⃘)

#裏アカ男子と繋がりたい 
#裏アカ女子
#裏アカjk
#裏アカ男子とつながりたい https://t.co/dBIrGe3aE7"
230,MQ8b1HfZl2CmpII,"サンプル置いときます。画像セット1000円〜動画2分くらい1500円〜です。ムッチムチですがそうゆうの好きな人いませんか？
＃裏垢女子
＃裏垢ｊｋ
＃買ってください https://t.co/my3omqAl2p"
231,KenIriyama,"@mkkKQz89osSJz2c こんにちはー！
動画買いたいです！"
232,mkkKQz89osSJz2c,"裏垢つくりました！
動画3000円〜売ってます！
iTunesカードでお願いします
DM待ってまーす！
#裏垢JK"
233,yuanano2002,"jkに射精権奪われてしこしこしたい人いませんかー？💕
すぐ貢ぐチョロマゾが好き💕

#射精管理
#裏垢jk
#貢ぎ奴隷"
234,rirukunn_0621,"どっちの写真が好きですか？
右→いいね
左→RT
どっちも→いいねとRT

中身はパイパンちんちんです笑

#裏アカ男子 
#裏アカ男子とつながりたい 
#エロ垢男子
#ショタ
#ちんちん https://t.co/rYmXhQlIEA"
235,my__miki,"唾液販売してます！
お気軽にDMください！
#売り子
 #10代売り子
#唾液
#唾液売ります"
236,as1p6Wx8THk8u0E,"お金がなくて困っているので助けて下さい😭
よろしくお願いします💕
#唾液売ります
#おしっこ売ります
#靴下売ります https://t.co/Y1vaQRWytb"
237,4frfsltrX1WFxYL,@uktk7 やりたいです！
238,_xxx111__,"コロナでお金がピンチなので、中学生の時に履いていた ローファー 、靴下 売ります ❣️
現高3で、数年お家に眠っていたものです(´•̥  ̯ •̥`)♡♡
DMください～！

#売り子　#売り子JK #JK #上履き… https://t.co/9cf3UzZnhu"
239,4H8DIVtL4NnY7XC,"裏アカ始めました！下系もいいけど💰ちょーだい！
中2です！
#裏アカJC
#裏アカ女子"
240,max_202004,"@mamakaka555 こんにちは！
ちょっと気になってリプしましたw
いきなりなんだけど、
動画とか下着でいっぱいお小遣いあげられるかも^_^;
こっちは歯科医してるんだけど、
JCなら高額出せると思うよ！
とりまいいね！してもらえたら
DM行くのでよろしくですッ"
241,YUlNA0000,"オフパコ、セフレ募集してるよー！
DMきてね条件はあるよ
暇な子DMきてね！

#エロ垢
#裏垢
#女子エロ垢
#オナニー
#オフパコ
#オフパコ募集
#セックス
#男子エロ垢
#セフレ"
242,ldFbCJeeOliUMhr,"ギャル　jk 等の私服欲しいです！
お取引方法は任せます。

#私服買います　#ギャル　#下着買います"
243,3H31O7tvoz1VmTM,"動画.画像買ってくれた人限定　
iTunesカード1500円
私の住所も教える
私とせっくすしよ
年齢　制限無し
場所　買ってくれた人が決める
時間　自由

sexの時したいこと
あなたとキスする💋下も舐めるよ❤️
マンコ舐めても… https://t.co/MOM5y4fDh9"
244,45451919ace,"⚠️#拡散希望⚠️

エログルあります！

グルでは、メンバー同士で見せ合い、オナ電、オフパコしまくりです！
童貞処女の方もありで、卒業できるかも？

参加希望者は、フォローとRＴしたらラインを追加して指示に従ってください… https://t.co/2GR4i9duXF"
245,yuuna_1008_,"裏アカ(という建前のえっちアカ)作りました
低浮上ですがよろしくお願いします₍₍⁽⁽(ી( ‘ω’ )ʃ)₎₎⁾⁾
#JC"
246,Mi_kuu22,"JC3 イメプに興味ある💭
初めてだから色々教えてほしい🔰
中3なので 中学生設定だと助かります😳
年齢問いません！
気軽にDMきてください|´-`)ﾁﾗｯ

#イメプ募集 #jc #中学生男子 #中学生女子 #中高生と繋がりたい… https://t.co/rzBYwjSe5s"
247,xr585288,仙台で円してもいいjk来ないかなーー
248,wlof35,"今月、仙台で円できる人いますか？
Jkだとありがたいです"
249,ljk02091440,"仙台済みのljkです！
いらなくなった下着など売ってますがどーでしょうか、、
今ものすごくお金に困ってて、、😭
直接の手渡し希望です！
#仙台
#ぱぱ
#裏アカJK"
250,meumeu_uraka,"仙台でパパ募集してます☺️💕
初心者です😖
質問、依頼はDMお待ちしておりますね💭 https://t.co/fUAZ126ZxD"
251,erierioo123,別で欲しいものもあるから、だれか動画買ってくれないかなあ。。。ほんとに。。。
252,isuNWOpTJCdyvH5,"福島住みでオフパコ希望の女性居ませんか？
DMください❣️"
253,KannaPaPak,"おかねほんとにピンチ߹𖥦߹
えんじょしてほしいです( ´ •̥  ̫ •̥ ` )
#女子高生 #JK #福島"
254,pmMprktoJ95RFuR,"福島県郡山市付近でママ活募集中です！
10代です！
気になる方はDMまでお願いします
♯ママ活"
255,aaa048ds,"今なら5分の動画とおっぱいの写真の
セットでAmazonカード2000円にします"
256,SCs6mbAgU8zphWP,"これからフェラ0.5でしてくれる人いませをんか？
＃サポ
＃福島
＃車内
＃フェラ"
257,KannaSeina,"おこづかいありで、お食事したいです♡
希望があれば制服も可能です♡
えんは募集してないです( &gt; &lt; )
福島駅周辺、日時はお任せします
#女子高生 #JK #福島 #高2"
258,qaXZcyNnEATJI66,"お金に困っているので優しいパパさんよろしくお願いします🥺
DMください

#兄活 #パパ活 #福島 #郡山市 https://t.co/83E5RzBivF"
259,OWRqHnHN6YDJoO0,"#家出少女 #香川県
17歳JKです
昨日家出しました
泊めてくれる人探しています"
260,mHw6Uc5ikkSj9QA,"こちらメニュー表です！
#裏アカJC #裏アカJK #裏アカ女子
#裏アカ男子と繋がりたい https://t.co/6S1L1Cshol"
261,eVsZ1l41YDmHy0K,僕のをしゃぶってくれる人ー🤚
262,__osinokaogaii_,"誰か貢いでくれよ〜〜おっぱいならいくらでも見せれるからよ〜

#裏アカJK 
#裏アカ女子 https://t.co/r7M4vTvA9Q"
263,VKVMNjudosEzdRr,明日会えるひとー
264,toshi7405,"オフパコしたい人ー？

#山形
#裏アカ女子
#JK
#人妻
#裏垢女子と繋がりたい"
265,Rupo91671817,ムラムラしてるんで女の子のマンコ見せてほしいです。DMにください
266,joke4410,米沢でプチとかサクっとしてくれる人いないかな。
267,E4i89t8clMifg0t,"iTunes カードでモザなし送る！
しょじょのあそこ😓
見せ合いもしてあげる！
いろんな人のち◯こ見たい！
同年代のも！
#裏アカjk
#裏アカ女子
#裏アカ男子と繋がりたい
#裏アカ女子と繋がりたい https://t.co/crb9EposGo"
268,7ccCgeowdf4cmJC,"今週木曜日、12日夜募集します(^^)
DMまってます⭐️

#パパ活 #p活 #パパ活初心者 #栃木"
269,MNZreissof0kWXw,"なんか、久しぶりに開いてみたら、何人かからDM…。しかも、だいたいみんな男の人なんだよなぁ〜。男の人は、お小遣いくれたらやろうかな〜
#裏垢jc"
270,nonsannouraaka,@Dlsg3OKf9aMu5As はじめまして😊DMでお話したいのでよかったら送ってもらえませんか？🥺
271,hachi_km8,@ameamehosii DMお願いします
272,E2Fado,@ichigoame02 あえます
273,Nieu_1108,@ichigoame02 4Pとやら興味ありまくりなので、ご相談しません😏❓️
274,B0Tun5,"@ichigoame02 こんばんは！ 興味あったのでメッセージしました
もし良ければお話しませんか？"
275,ichigoame02,https://t.co/TGjTbZeV6l
276,RoLB87DP7hKbxno,"ﾌﾝｲｷのせます❤
せめてお話でもしたいかなぁ、、
オフパコしたいですっ🙈
#裏アカ女子 #裏アカ男子とつながりたい https://t.co/AGj1SYRq3c"
277,1R35polo,@Yuuka56788 しよ
278,Eu9P2,@Yuuka56788 よかったらDMしたいです
279,niigatasex1618,@Yuuka56788 しよー❤まずはdm
280,Ryota2356,@Yuuka56788 かまってやろか？なーんてね笑
281,pxKqUCl5THafd1P,@Yuuka56788 DM で話しませんか？
282,tIGFxkw4oowcsi2,@Yuuka56788 DMしましょー
283,lg6rwk,@Yuuka56788 よかたらdmしましょ！
284,Wg94MUKyuCET9zJ,@Yuuka56788 DMくださーい（╹◡╹）
285,Yuuka56788,えっちしよ…
